,1 bit gate,2 bit gate,,,pieces,,,,,,,,,
,"X, H, Z, Y","SWAP, CNOT",,,W,B,+,-,BW,WB,,,,
,,,,,,,,,,,,,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-1,1,X,All white,1,,,,,,,,,,learn X_1
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-2,1,X,All black,1,,,,,,,,,,learn X_2
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,B,B,B,W,B,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,B,W,B,B,B,B,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-3,1,H,All white,1,,,,,,,,,,learn H_1
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,+,+,W,W,W,,
,,,,5,W,W,W,+,+,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-4,2,H,All white,1,,,,,,,,,,learn H_2
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,W,W,W,W,+,W,W,W,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-5,2,H,All black,1,,,,,,,,,,learn H_3
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,-,-,B,B,B,B,,
,,,,4,B,B,-,B,-,B,B,B,,
,,,,5,B,B,B,-,-,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-6,3,H/Z,All white,1,,,,,,,,,,learn Z_1
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,+,+,+,-,-,+,+,+,,
,,,,5,+,+,+,-,-,+,+,+,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-7,2,H/Z,All black,1,,,,,,,,,,learn Z_2
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,-,-,-,+,+,-,-,-,,
,,,,5,B,B,B,B,B,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
0-8,2,Y,All white,1,,,,,,,,,,learn Y_1
